Project_ID,Project_Name,Portfolio,Program,Department,Business_Unit,Project_Manager,Sponsor,Client,Country,Region,Project_Type,Project_Size,Methodology,Priority,Status,Health,Start_Date,End_Date,Go_Live_Date,Duration_Days,Budget_INR,Actual_Spend,Completion_%,Phase,Risk_Level,Resource_Count,Vendor,Technology,Strategic_Objective
PRJ001,Project 1,AI,Program 1,HR,Enterprise,R Singh,COO,Client 19,USA,APAC,Implementation,Large,Agile,High,Delayed,Green,26-Sep-25,01-Feb-26,08-Feb-26,128,70700000,49286787,75,Testing,Low,39,Capgemini,Salesforce,Compliance
PRJ002,Project 2,Infrastructure,Program 1,HR,Corporate,R Singh,CFO,Client 3,India,Americas,Implementation,Medium,Agile,Medium,At Risk,Green,10-Apr-26,18-Sep-26,08-Sep-26,161,20700000,18348294,100,Planning,High,8,TCS,Oracle,Compliance
PRJ003,Project 3,Infrastructure,Program 5,HR,Corporate,N Kumar,CIO,Client 5,India,EMEA,Upgrade,Large,Hybrid,High,Completed,Amber,18-Apr-25,04-Nov-25,22-Nov-25,200,188300000,82908297,100,Initiation,Medium,32,Infosys,Power BI,Compliance
PRJ004,Project 4,AI,Program 4,Sales,Enterprise,S Verma,CFO,Client 12,UK,EMEA,Upgrade,Large,Scrum,Low,On Track,Red,26-Apr-25,15-Sep-26,05-Oct-26,507,217900000,129038199,61,Initiation,High,17,Deloitte,Salesforce,Compliance
PRJ005,Project 5,ERP,Program 1,HR,Consumer,A Sharma,CIO,Client 18,India,Americas,Upgrade,Large,Waterfall,Medium,Completed,Green,16-Jul-25,29-Dec-25,14-Jan-26,166,237400000,62710047,100,Closure,High,10,TCS,SAP,Efficiency
PRJ006,Project 6,Digital,Program 2,Finance,Corporate,M Patel,CFO,Client 7,USA,Americas,Migration,Large,Waterfall,Low,Completed,Red,05-May-25,03-Dec-25,21-Dec-25,212,223600000,44308188,100,Initiation,Low,26,Accenture,Salesforce,Efficiency
PRJ007,Project 7,Digital,Program 2,IT,Enterprise,P Gupta,CIO,Client 12,UK,APAC,Upgrade,Small,Scrum,High,On Track,Amber,31-Mar-26,10-Sep-26,27-Sep-26,163,91900000,97670924.48,74,Deployment,Medium,31,IBM,SAP,Growth
PRJ008,Project 8,Digital,Program 9,IT,Consumer,V Mehta,CIO,Client 19,Germany,EMEA,Implementation,Small,Hybrid,Medium,On Track,Green,30-Sep-25,23-May-26,15-May-26,235,57300000,65976054.78,42,Closure,High,31,Infosys,Dynamics 365,Growth
PRJ009,Project 9,Digital,Program 2,HR,Consumer,S Verma,COO,Client 15,Singapore,Americas,Implementation,Small,Hybrid,Low,At Risk,Red,28-May-25,02-Oct-25,28-Sep-25,127,166300000,142473661,90,Planning,Medium,6,TCS,Azure,Efficiency
PRJ010,Project 10,AI,Program 1,Sales,Consumer,S Verma,CTO,Client 1,USA,Americas,Upgrade,Small,Hybrid,Low,On Track,Amber,14-Apr-26,11-Apr-27,30-Apr-27,362,66000000,37598839,57,Closure,Low,34,Accenture,Power BI,Growth
PRJ011,Project 11,ERP,Program 5,Sales,Enterprise,K Rao,CTO,Client 5,Singapore,APAC,Implementation,Large,Hybrid,Medium,Delayed,Amber,22-Feb-26,14-Feb-27,24-Feb-27,357,84200000,29008884,39,Execution,High,25,Deloitte,SAP,Growth
